Name,Club,Games,Tries,Try Assists,Points,Possessions,Runs,Run Metres,Pick & Drives,Linebreaks,LB Assists,Tackle Busts,Offloads,Passes,Lineout Wins Own,Lineout Wins Opp,Kicks,Kick Metres,Kick Errors
Aiden Ross,Chiefs,6,1,0,5,27,20,67,4,1,0,5,0,5,0,0,0,0,0
Carlu Sadie,Lions,6,0,0,0,33,29,121,0,0,0,3,0,4,0,0,0,0,0
Naoto Saito,Sunwolves,6,0,1,0,193,1,12,0,0,1,0,0,181,0,0,5,145,0
Peter Samu,Brumbies,6,2,0,10,48,27,244,3,5,0,13,2,26,9,0,0,0,0
Tom Sanders,Crusaders,6,0,1,0,86,62,333,2,2,0,10,5,25,4,1,0,0,0
Jake Schatz,Sunwolves,6,0,0,0,63,40,173,2,0,0,1,1,25,4,0,0,0,0
Marnus Schoeman,Lions,6,3,0,15,81,42,165,4,1,0,8,1,26,1,0,0,0,0
Joel Sclavi,Jaguares,6,0,0,0,16,13,50,1,0,0,0,0,3,0,0,0,0,0
Angus Scott-Young,Reds,6,0,0,0,47,36,151,2,0,1,5,3,21,13,0,0,0,0
Seabelo Senatla,Stormers,6,1,0,5,49,22,185,0,2,3,4,2,17,0,0,8,164,2
Sithembiso Sithole,Lions,6,1,0,5,20,12,29,1,1,0,2,1,7,0,0,0,0,0
James Slipper,Brumbies,6,0,1,0,49,36,152,3,0,1,4,1,13,0,0,0,0,0
Dylan Smith,Lions,6,0,0,0,30,25,87,1,0,0,0,1,5,0,0,0,0,0
Fletcher Smith,Hurricanes,6,1,0,17,81,13,102,0,2,5,4,4,56,0,0,11,442,0
Jean-Pierre Smith,Reds,6,0,0,0,35,28,99,3,0,0,0,0,6,0,0,0,0,0
Hoskins Sotutu,Blues,6,1,1,5,95,59,492,10,7,1,20,8,37,3,1,2,41,0
Rosko Specman,Bulls,6,4,1,20,75,36,476,1,10,1,14,8,30,0,0,7,226,0
Tom Staniforth,Waratahs,6,0,0,0,67,44,178,4,0,0,4,3,25,6,0,0,0,0
Morne Steyn,Bulls,6,1,2,40,120,6,28,0,1,4,0,1,77,0,0,34,1171,0
Michael Stolberg,Sunwolves,6,2,0,10,39,23,148,2,3,1,5,2,35,34,3,1,23,0
Joshua Strauss,Bulls,6,0,0,0,47,36,205,2,0,1,5,5,15,1,0,0,0,0
Lachlan Swinton,Waratahs,6,1,0,5,67,44,257,1,2,0,4,0,28,14,1,0,0,0
Samisoni Taukei'aho,Chiefs,6,2,0,10,56,45,161,11,1,0,6,1,8,0,0,0,0,0
Karl Tu'inukuafe,Blues,6,1,0,5,38,28,120,4,1,0,3,1,9,0,0,0,0,0
Patrick Tuipulotu,Blues,6,1,0,5,51,37,176,3,1,0,7,1,20,12,2,0,0,0
Ofa Tu'ungafasi,Blues,6,0,0,0,30,25,97,3,0,0,5,0,5,0,0,0,0,0
Rob Valetini,Brumbies,6,1,1,5,55,42,277,3,2,0,14,3,17,2,0,0,0,0
Morne van den Berg,Lions,6,0,1,0,231,16,62,0,0,1,5,3,207,0,0,5,64,2
Wilhelm van der Sluys,Lions,6,0,0,0,18,11,39,0,0,0,0,0,8,6,0,0,0,0
Ernst Van Rhyn,Stormers,6,0,0,0,16,11,69,0,1,0,2,0,5,3,0,0,0,0
Conraad Van Vuuren,Sunwolves,6,0,0,0,25,21,52,5,0,0,2,0,4,0,0,0,0,0
Hencus van Wyk,Sunwolves,6,0,0,0,18,12,57,1,1,0,3,0,2,0,0,0,0,0
Ivan van Zyl,Bulls,6,0,0,0,207,4,15,0,0,0,0,1,187,0,0,11,271,0
Henco Venter,Sharks,6,0,0,0,22,16,102,3,0,0,0,1,9,3,0,0,0,0
James Venter,Sharks,6,1,0,5,50,33,228,2,1,0,6,1,16,1,0,0,0,0
Jaco Visagie,Bulls,6,1,1,5,21,13,60,1,1,0,1,1,7,0,0,0,0,0
Mayco Vivas,Jaguares,6,0,0,0,19,12,46,0,0,0,1,0,6,0,0,0,0,0
Michael Wells,Rebels,6,0,0,0,25,16,116,1,2,0,2,0,6,0,0,0,0,0
Damian Willemse,Stormers,6,1,2,41,144,33,326,0,1,4,16,2,60,0,0,41,1360,1
Kotaro Yatabe,Sunwolves,6,0,0,0,24,21,51,2,0,0,2,0,6,5,1,0,0,0
Robbie Abel,Waratahs,5,0,0,0,39,18,56,5,0,1,0,2,18,0,0,0,0,0
Jarred Adams,Sunwolves,5,0,1,0,24,18,107,3,2,1,4,1,4,0,0,0,0,0
Jermaine Ainsley,Rebels,5,0,0,0,21,13,63,1,0,0,2,0,6,0,0,0,0,0
Michael Ala'alatoa,Crusaders,5,0,1,0,46,30,99,1,0,2,5,1,15,0,0,0,0,0
Solomon Alaimalo,Chiefs,5,4,1,20,51,33,345,3,4,1,12,6,20,0,0,2,72,0
Garth April,Sunwolves,5,3,0,34,157,27,301,0,4,2,7,9,106,0,0,29,925,3
Juarno Augustus,Stormers,5,2,2,10,29,20,126,2,4,1,9,2,11,0,0,0,0,0
Jordie Barrett,Hurricanes,5,0,2,42,119,38,301,0,1,3,15,5,35,0,0,40,1502,1
Te Ariki Ben-Nicholas,Highlanders,5,1,0,5,19,12,40,0,1,0,4,0,6,4,0,0,0,0
James Blackwell,Hurricanes,5,0,0,0,35,21,101,0,2,0,2,0,14,9,0,0,0,0
Jamie Booth,Hurricanes,5,1,0,5,117,5,96,0,1,1,1,0,101,0,0,10,181,2
Lachlan Boshier,Chiefs,5,3,0,15,47,25,139,1,2,0,7,0,21,8,0,0,0,0
George Bridge,Crusaders,5,3,2,15,94,61,518,0,4,4,21,7,32,0,0,3,79,0
Mitchell Brown,Chiefs,5,0,0,0,23,13,49,0,0,0,0,0,18,13,3,1,13,0
Brett Cameron,Crusaders,5,0,0,10,64,7,40,0,0,1,0,1,46,0,0,5,180,1
Sam Cane,Chiefs,5,0,0,0,48,25,98,0,0,0,3,1,23,2,0,0,0,0
Santiago Chocobares,Jaguares,5,0,0,0,14,7,34,0,0,0,5,0,3,0,0,0,0,0
Andries Coetzee,Lions,5,1,0,7,82,37,304,0,2,0,15,4,32,0,0,10,484,0
Jaco Coetzee,Stormers,5,0,0,0,37,26,173,3,1,2,13,4,9,1,0,0,0,0
Mike Collins,Highlanders,5,2,0,10,50,33,286,0,2,0,8,5,15,0,0,8,158,1
Liam Coltman,Highlanders,5,0,0,0,20,15,60,1,0,0,1,1,3,0,0,0,0,0
Aaron Cruden,Chiefs,5,1,1,39,97,23,147,0,1,4,6,4,54,0,0,22,718,0
James Dargaville,Sunwolves,5,1,1,5,51,33,353,0,1,2,11,1,10,0,0,5,144,0
Hacjivah Dayimani,Lions,5,0,1,0,23,17,105,0,2,1,9,2,11,4,0,1,0,0
Ash Dixon,Highlanders,5,0,0,0,29,21,56,1,0,0,2,0,7,0,0,0,0,0
Justin Downey,Sunwolves,5,0,0,0,45,38,139,12,0,0,3,0,9,4,0,0,0,0
Mitchell Drummond,Crusaders,5,0,1,2,184,5,29,0,0,0,1,6,166,0,0,12,255,0
Jean-Luc du Plessis,Stormers,5,0,0,2,34,6,41,0,0,1,1,1,18,0,0,8,256,0
Johan du Toit,Stormers,5,0,1,0,15,15,63,1,0,1,2,1,4,4,0,0,0,0
Pieter-Steph du Toit,Stormers,5,0,0,0,37,30,136,5,0,0,4,1,14,14,0,0,0,0
JJ Engelbrecht,Sunwolves,5,0,0,0,27,12,109,0,1,0,3,2,12,0,0,2,28,0
Braydon Ennor,Crusaders,5,4,2,20,52,23,264,0,5,4,11,4,22,0,0,4,44,1
Leicester Fainga'anuku,Crusaders,5,2,0,10,46,33,337,4,5,0,17,7,11,0,0,3,91,0
