Name,Club,Games,Conversions,Conversion Attempts,Penalty Goals,Penalty Goal Attempts,Goal Kicking %,Drop Goals,Drop Goal Attempts,Drop Goal %,Points,Kicks,Kick Metres,Kick Errors
Mitch Jacobson,Sunwolves,5,0,0,0,0,-,0,0,-,0,0,0,0
Oliver Jager,Crusaders,5,0,0,0,0,-,0,0,-,0,0,0,0
Herschel Jantjies,Stormers,5,0,0,0,0,-,0,0,-,15,30,666,3
Harry Johnson-Holmes,Waratahs,5,0,0,0,0,-,0,0,-,5,0,0,0
Ayden Johnston,Highlanders,5,0,0,0,0,-,0,0,-,0,0,0,0
Mitch Karpik,Chiefs,5,0,0,0,0,-,0,0,-,0,1,9,0
Gideon Koegelenberg,Rebels,5,0,0,0,0,-,0,0,-,0,0,0,0
Manie Libbok,Bulls,5,5,8,0,0,62,0,0,-,10,8,235,2
Anton Lienert-Brown,Chiefs,5,0,0,0,0,-,0,0,-,10,1,21,0
Daniel Lienert-Brown,Highlanders,5,0,0,0,0,-,0,0,-,0,0,0,0
Frank Lomani,Rebels,5,2,3,0,0,66,0,0,-,9,4,33,2
Tyrel Lomax,Hurricanes,5,0,0,0,0,-,0,0,-,0,0,0,0
Ryan Louwrens,Rebels,5,0,0,0,0,-,0,0,-,0,20,466,1
Efitusi Ma'afu,Sunwolves,5,0,0,0,0,-,0,0,-,5,0,0,0
Godlen Masimla,Stormers,5,0,0,0,0,-,0,0,-,5,5,101,1
Ryan McCauley,Waratahs,5,0,0,0,0,-,0,0,-,0,0,0,0
Josh McKay,Highlanders,5,0,0,0,0,-,0,0,-,5,7,222,1
Santiago Medrano,Jaguares,5,0,0,0,0,-,0,0,-,0,0,0,0
Marino Mikaele-Tu'u,Highlanders,5,0,0,0,0,-,0,0,-,0,0,0,0
Atunaisa Moli,Chiefs,5,0,0,0,0,-,0,0,-,0,0,0,0
Andrew Muirhead,Brumbies,5,0,0,0,0,-,0,0,-,0,0,0,0
Shogo Nakano,Sunwolves,5,0,0,0,0,-,0,0,-,5,1,16,0
Emoni Narawa,Blues,5,0,0,0,0,-,0,0,-,0,2,39,0
Jona Nareki,Highlanders,5,0,0,0,0,-,0,0,-,15,9,418,0
Mark Nawaqanitawase,Waratahs,5,0,0,0,0,-,0,0,-,20,6,165,0
Rudy Paige,Sunwolves,5,0,0,0,0,-,0,0,-,0,8,221,0
Jesse Parete,Highlanders,5,0,0,0,0,-,0,0,-,0,0,0,0
James Parsons,Blues,5,0,0,0,0,-,0,0,-,0,0,0,0
Billy Proctor,Hurricanes,5,0,0,0,0,-,0,0,-,0,1,24,0
Manuel Rass,Lions,5,0,0,0,0,-,0,0,-,0,6,163,1
Izack Rodda,Reds,5,0,0,0,0,-,0,0,-,0,0,0,0
Juan Schoeman,Sharks,5,0,0,0,0,-,0,0,-,0,0,0,0
Ruben Schoeman,Lions,5,0,0,0,0,-,0,0,-,0,0,0,0
Scott Scrafton,Hurricanes,5,0,0,0,0,-,0,0,-,0,0,0,0
Mitch Short,Waratahs,5,0,0,0,0,-,0,0,-,0,4,103,0
Rob Simmons,Waratahs,5,0,0,0,0,-,0,0,-,5,0,0,0
Irae Simone,Brumbies,5,0,0,0,0,-,0,0,-,10,11,287,1
Scott Sio,Brumbies,5,0,0,0,0,-,0,0,-,0,0,0,0
Courtnall Skosan,Lions,5,0,0,0,0,-,0,0,-,10,2,26,1
Bradley Slater,Chiefs,5,0,0,0,0,-,0,0,-,0,0,0,0
Aaron Smith,Highlanders,5,0,0,1,1,100,0,0,-,8,41,873,2
Pita Gus Sowakula,Chiefs,5,0,0,0,0,-,0,0,-,5,0,0,0
Gerhardus Steenekamp,Bulls,5,0,0,0,0,-,0,0,-,0,0,0,0
Madosh Tambwe,Sharks,5,0,0,0,0,-,0,0,-,15,1,36,0
Tautalatasi Tasi,Sunwolves,5,0,0,0,0,-,0,0,-,5,1,17,0
Codie Taylor,Crusaders,5,0,0,0,0,-,0,0,-,5,0,0,0
Ben Te'o,Sunwolves,5,0,0,0,0,-,0,0,-,0,4,98,0
Nahuel Tetaz Chaparro,Jaguares,5,0,0,0,0,-,0,0,-,0,0,0,0
Siate Tokolahi,Highlanders,5,0,0,0,0,-,0,0,-,0,0,0,0
Matt To'omua,Rebels,5,9,15,6,6,71,0,0,-,36,40,1286,1
Kaleb Trask,Chiefs,5,3,6,0,0,50,0,0,-,11,13,528,1
Christopher Van Zyl,Stormers,5,0,0,0,0,-,0,0,-,0,0,0,0
Isaia Walker-Leawere,Hurricanes,5,0,0,0,0,-,0,0,-,0,0,0,0
Jeremy Ward,Sharks,5,0,0,0,0,-,0,0,-,0,0,0,0
Brad Weber,Chiefs,5,0,0,0,0,-,0,0,-,15,25,590,2
Tom Wright,Brumbies,5,0,0,0,0,-,0,0,-,20,2,39,0
Dane Zander,Reds,5,0,0,0,0,-,0,0,-,0,0,0,0
Willem Alberts,Lions,4,0,0,0,0,-,0,0,-,0,0,0,0
Michael Allardice,Chiefs,4,0,0,0,0,-,0,0,-,0,1,15,0
Tyler Ardron,Chiefs,4,0,0,0,0,-,0,0,-,0,0,0,0
Fraser Armstrong,Hurricanes,4,0,0,0,0,-,0,0,-,0,0,0,0
Scott Barrett,Crusaders,4,0,0,0,0,-,0,0,-,0,0,0,0
Gonzalo Bertranou,Jaguares,4,0,0,0,0,-,0,0,-,0,10,199,2
Otere Black,Blues,4,9,12,8,8,85,0,1,0,42,27,777,0
Sebastian Cancelliere,Jaguares,4,0,0,0,0,-,0,0,-,5,1,8,0
Santiago Carreras,Jaguares,4,0,0,0,0,-,0,0,-,5,7,278,0
Tomas Cubelli,Jaguares,4,0,0,0,0,-,0,0,-,5,16,442,1
Thomas Cusack,Brumbies,4,0,0,0,0,-,0,0,-,5,0,0,0
Jannie du Plessis,Lions,4,0,0,0,0,-,0,0,-,0,0,0,0
Cabous Eloff,Rebels,4,0,0,0,0,-,0,0,-,0,0,0,0
Corniel Els,Bulls,4,0,0,0,0,-,0,0,-,0,0,0,0
