Name,Club,Games,Turnovers,Handling Errors,Penalties Conceded,Yellow Cards,Red Cards,Tackles,Missed Tackles,Ineffective Tackles,Tackle Efficiency %,Pilfers,Forced Penalties,Forced Ruck & Maul Penalties
Cornal Hendricks,BUL,5,6,7,0,0,0,21,7,2,70,0,0,0
Harry Hockings,RED,5,4,1,2,0,0,34,3,1,89,1,0,0
Mitch Hunt,HIG,5,1,2,0,0,0,21,2,3,80,0,1,1
Josh Ioane,HIG,5,3,2,1,0,0,31,13,5,63,0,0,0
Mitch Jacobson,SUN,5,2,2,2,0,0,48,5,6,81,0,0,0
Oliver Jager,CRU,5,1,1,3,0,0,28,4,1,84,0,0,0
Herschel Jantjies,STO,5,4,3,3,0,0,21,6,5,65,0,0,0
Harry Johnson-Holmes,WAR,5,2,1,7,0,0,44,7,0,86,0,1,1
Ayden Johnston,HIG,5,0,0,1,0,0,38,3,0,92,0,0,0
Mitch Karpik,CHI,5,3,3,3,0,0,46,3,4,86,0,0,0
Gideon Koegelenberg,REB,5,2,0,1,0,0,20,2,1,86,0,0,0
Manie Libbok,BUL,5,1,2,2,0,0,7,3,1,63,0,0,0
Anton Lienert-Brown,CHI,5,3,2,2,0,0,45,2,7,83,0,0,0
Daniel Lienert-Brown,HIG,5,0,0,4,0,0,26,3,1,86,0,0,0
Frank Lomani,REB,5,3,3,0,0,0,8,3,1,66,0,0,0
Tyrel Lomax,HUR,5,2,1,5,0,1,29,5,0,85,0,0,0
Ryan Louwrens,REB,5,3,3,1,0,0,17,7,5,58,0,0,0
Efitusi Ma'afu,SUN,5,1,0,2,0,0,30,3,2,85,0,1,1
Godlen Masimla,STO,5,1,1,2,0,0,5,3,4,41,0,0,0
Ryan McCauley,WAR,5,3,1,0,0,0,16,2,0,88,0,0,0
Josh McKay,HIG,5,4,4,3,0,0,14,7,5,53,0,0,0
Santiago Medrano,JAG,5,2,1,6,0,0,41,1,2,93,0,0,0
Marino Mikaele-Tu'u,HIG,5,8,5,6,0,0,31,8,4,72,1,1,1
Atunaisa Moli,CHI,5,0,0,2,0,0,29,10,3,69,0,0,0
Andrew Muirhead,BRU,5,4,2,1,0,0,8,4,3,53,0,0,0
Shogo Nakano,SUN,5,2,4,0,0,0,20,7,7,58,0,0,0
Emoni Narawa,BLU,5,2,2,0,0,0,8,1,2,72,0,0,0
Jona Nareki,HIG,5,6,5,1,1,0,23,5,3,74,0,0,0
Mark Nawaqanitawase,WAR,5,8,7,1,0,0,19,6,6,61,0,1,1
Rudy Paige,SUN,5,1,2,0,0,0,26,8,2,72,0,0,0
Jesse Parete,HIG,5,1,1,4,0,0,55,11,2,80,0,2,2
James Parsons,BLU,5,3,1,3,0,0,31,2,0,93,2,1,1
Billy Proctor,HUR,5,1,1,1,1,0,15,2,2,78,1,0,0
Manuel Rass,LIO,5,0,0,4,0,0,27,1,2,90,0,0,0
Izack Rodda,RED,5,1,0,1,0,0,31,5,2,81,0,0,0
Juan Schoeman,SHA,5,0,0,2,0,0,8,3,1,66,0,0,0
Ruben Schoeman,LIO,5,1,1,3,1,0,26,4,0,86,1,0,0
Scott Scrafton,HUR,5,0,0,3,0,0,40,6,1,85,0,0,0
Mitch Short,WAR,5,3,3,0,0,0,11,5,3,57,0,0,0
Rob Simmons,WAR,5,2,3,2,0,0,49,7,1,85,0,0,0
Irae Simone,BRU,5,2,3,3,0,0,46,7,9,74,0,0,0
Scott Sio,BRU,5,2,2,6,0,0,25,6,1,78,0,0,0
Courtnall Skosan,LIO,5,4,4,1,0,0,13,4,2,68,0,0,0
Bradley Slater,CHI,5,2,2,0,0,0,39,7,2,81,0,1,1
Aaron Smith,HIG,5,5,7,0,0,0,10,4,3,58,1,0,0
Pita Gus Sowakula,CHI,5,2,3,5,0,0,52,11,3,78,0,3,3
Gerhardus Steenekamp,BUL,5,0,0,1,0,0,14,4,3,66,0,0,0
Madosh Tambwe,SHA,5,6,3,4,1,0,13,6,2,61,0,0,0
Tautalatasi Tasi,SUN,5,0,1,1,0,0,15,6,5,57,0,2,2
Codie Taylor,CRU,5,3,3,2,0,0,47,5,1,88,0,3,3
Ben Te'o,SUN,5,9,9,8,1,0,43,5,2,86,0,0,0
Nahuel Tetaz Chaparro,JAG,5,0,0,4,0,0,17,3,2,77,0,0,0
Siate Tokolahi,HIG,5,2,2,4,0,0,32,3,1,88,0,0,0
Matt To'omua,REB,5,4,3,3,0,0,27,6,3,75,0,0,0
Kaleb Trask,CHI,5,0,2,0,0,0,20,2,3,80,0,0,0
Christopher Van Zyl,STO,5,1,0,3,0,0,23,1,2,88,0,0,0
Isaia Walker-Leawere,HUR,5,3,2,5,0,0,37,4,0,90,0,0,0
Jeremy Ward,SHA,5,1,2,0,0,0,16,4,1,76,0,0,0
Brad Weber,CHI,5,2,1,3,0,0,17,2,2,80,0,1,1
Tom Wright,BRU,5,2,2,1,0,0,7,0,2,77,0,0,0
Dane Zander,RED,5,0,0,1,0,0,23,5,1,79,0,0,0
Willem Alberts,LIO,4,5,4,2,0,0,19,7,3,65,0,0,0
Michael Allardice,CHI,4,3,2,1,0,0,34,5,2,82,0,0,0
Tyler Ardron,CHI,4,2,2,4,1,0,33,8,3,75,0,1,1
Fraser Armstrong,HUR,4,1,1,2,0,0,17,5,0,77,0,0,0
Scott Barrett,CRU,4,1,1,2,0,0,48,9,1,82,0,0,0
Gonzalo Bertranou,JAG,4,1,0,0,1,0,12,4,2,66,0,0,0
Otere Black,BLU,4,0,1,0,0,0,12,5,1,66,0,0,0
Sebastian Cancelliere,JAG,4,1,1,1,0,0,16,2,1,84,0,0,0
Santiago Carreras,JAG,4,3,3,0,0,0,6,4,1,54,0,0,0
Tomas Cubelli,JAG,4,4,5,0,0,0,27,2,1,90,0,0,0
Thomas Cusack,BRU,4,0,0,2,0,0,21,7,1,72,0,1,1
Jannie du Plessis,LIO,4,2,2,7,0,0,14,2,1,82,0,0,0
Cabous Eloff,REB,4,0,0,2,0,0,11,2,0,84,1,0,0
Corniel Els,BUL,4,0,0,4,0,0,9,1,3,69,0,0,0
Andries Ferreira,BUL,4,2,1,3,1,0,20,2,0,90,0,0,0
Shannon Frizell,HIG,4,3,2,2,1,0,28,4,0,87,1,0,0
Jake Gordon,WAR,4,5,6,1,0,0,24,4,5,72,0,0,0
Francisco Gorrissen,JAG,4,1,2,0,0,0,37,2,4,86,0,2,2
Kayne Hammington,HIG,4,0,1,1,0,0,10,2,2,71,0,0,0
David Havili,CRU,4,7,7,0,0,0,18,6,2,69,0,0,0
Sione Havili,CRU,4,2,2,1,0,0,20,4,3,74,0,0,0
Dillon Hunt,HIG,4,2,2,1,0,0,27,1,1,93,0,1,1
Rieko Ioane,BLU,4,7,7,3,0,0,16,7,1,66,0,0,0
Juandre Kruger,BUL,4,0,0,1,0,0,40,1,0,97,0,0,0
Tony Lamborn,BLU,4,1,0,1,0,0,20,2,0,90,0,0,0
James Lentjes,HIG,4,0,0,2,0,0,52,6,5,82,0,2,2
Ezekiel Lindenmuth,BLU,4,0,1,4,0,0,12,2,0,85,0,0,0
Andrew Makalio,CRU,4,0,1,1,0,0,13,3,1,76,0,0,0
Juan Cruz Mallia,JAG,4,3,3,1,0,0,24,2,1,88,0,0,0
Scott Malolua,RED,4,3,3,0,0,0,15,3,2,75,0,0,0
Nic Mayhew,SUN,4,1,1,6,0,0,25,0,0,100,0,0,0
Damian McKenzie,CHI,4,6,9,1,0,0,13,9,1,56,0,0,0
Fraser McReight,RED,4,3,3,0,0,0,12,2,1,80,1,2,2
Steven Misa,REB,4,2,0,0,0,0,10,3,0,76,0,1,1
Joe Moody,CRU,4,2,2,4,0,0,34,6,3,79,0,0,0
Richie Mo'unga,CRU,4,1,2,3,0,0,27,6,4,72,0,0,0
Shunsuke Nunomaki,SUN,4,1,1,3,0,0,32,6,1,82,1,2,2
Reuben O'Neill,CHI,4,1,1,0,0,0,21,0,0,100,0,0,0
Jacob Pierce,BLU,4,1,1,3,0,0,25,5,1,80,2,0,0
Pouri Rakete-Stones,HUR,4,0,0,2,0,0,27,5,0,84,0,0,0
Tom Robertson,WAR,4,1,1,2,0,0,14,3,0,82,0,0,0
Divan Rossouw,BUL,4,1,1,0,0,0,4,1,3,50,0,0,0
Jeandre Rudolph,BUL,4,2,1,7,0,0,41,4,2,87,1,0,0
JD Schickerling,STO,4,1,1,2,0,0,31,1,3,88,0,0,0
Santiago Socino,JAG,4,1,1,2,0,0,20,4,0,83,1,1,1
Chad Solomon,STO,4,1,0,0,0,0,11,0,0,100,0,0,0
Ruan Steenkamp,BUL,4,3,2,2,0,0,11,2,1,78,0,0,0
Shaun Stevenson,CHI,4,7,6,0,0,0,19,4,2,76,0,0,0
Te Toiroa Tahuriorangi,CHI,4,0,0,0,0,0,10,8,3,47,0,0,0
Vincent Tshituka,LIO,4,1,1,0,0,0,29,5,7,70,1,0,0
Quinn Tupaea,CHI,4,3,2,0,0,0,21,7,4,65,0,1,1
Tevita Tupou,SUN,4,1,1,3,0,0,20,8,1,68,1,1,1
Isi Tu'ungafasi,CRU,4,0,0,1,0,0,15,1,0,93,0,0,0
Alistair Vermaak,STO,4,0,0,1,0,0,10,1,1,83,0,0,0
Sean Wainui,CHI,4,4,3,0,0,0,16,1,2,84,0,0,0
Andre Warner,LIO,4,2,1,0,0,0,13,6,8,48,0,0,0
Jack Whetton,HIG,4,0,0,0,0,0,29,1,0,96,0,0,0
Cobus Wiese,STO,4,1,1,2,0,0,15,2,2,78,0,1,1
Matias Alemanno,JAG,3,0,0,2,0,0,22,3,0,88,0,0,0
Aaron Carroll,BLU,3,1,1,1,0,0,9,0,0,100,1,0,0
Dane Coles,HUR,3,0,1,3,0,0,16,4,1,76,0,0,0
Filipo Daugunu,RED,3,0,0,0,0,0,5,0,2,71,0,1,1
Jeronimo de la Fuente,JAG,3,1,1,1,0,0,20,6,0,76,0,0,0
Andrew Deegan,REB,3,1,1,0,0,0,9,4,2,60,0,0,0
Bautista Delguy,JAG,3,3,2,0,0,0,8,3,2,61,0,0,0
Joaquin Diaz Bonilla,JAG,3,2,4,1,1,0,5,5,1,45,0,0,0
Josh Dickson,HIG,3,0,0,3,0,0,26,5,1,81,0,0,0
Whetukamokamo Douglas,CRU,3,2,2,2,0,0,35,1,1,94,0,0,0
Tom English,REB,3,0,1,1,1,0,10,5,2,58,0,1,1
Chris Eves,SUN,3,0,0,4,0,0,16,6,1,69,0,0,0
Folau Fainga'a,BRU,3,1,1,2,0,0,23,4,1,82,0,0,0
Jackson Garden-Bachop,HUR,3,0,0,1,0,0,2,1,0,66,0,0,0
Josh Goodhue,BLU,3,0,0,2,0,0,15,1,2,83,0,0,0
Reece Hodge,REB,3,0,0,0,0,0,15,4,3,68,0,0,0
Harry Hoopert,RED,3,2,2,4,0,0,7,1,0,87,0,0,0
