Name,Club,Games,Tries,Try Assists,Points,Possessions,Runs,Run Metres,Pick & Drives,Linebreaks,LB Assists,Tackle Busts,Offloads,Passes,Lineout Wins Own,Lineout Wins Opp,Kicks,Kick Metres,Kick Errors
J. Goodhue,CRU,5,1,3,5,81,36,288,1,3,6,11,11,47,0,0,4,73,0
W. Goosen,HUR,5,1,0,5,40,27,246,0,3,0,10,0,5,0,0,1,45,0
B. Hall,CRU,5,0,2,4,271,7,17,1,0,3,0,0,242,0,0,21,490,0
C. Hendricks,BUL,5,2,0,10,48,27,262,0,3,0,9,1,13,0,0,5,106,0
H. Hockings,RED,5,0,0,0,48,25,101,0,1,0,0,5,38,16,3,0,0,0
M. Hunt,HIG,5,0,2,5,119,18,101,0,1,5,6,1,61,0,0,32,907,1
J. Ioane,HIG,5,1,1,33,59,19,110,2,2,3,4,2,29,0,0,10,231,0
M. Jacobson,SUN,5,0,0,0,31,23,138,1,1,0,2,3,9,2,0,0,0,0
O. Jager,CRU,5,0,0,0,13,11,54,0,0,0,0,0,2,0,0,0,0,0
H. Jantjies,STO,5,3,1,15,275,12,135,0,1,0,5,1,228,0,0,30,666,3
H. Johnson-Holmes,WAR,5,1,0,5,24,15,55,7,1,0,5,0,8,0,0,0,0,0
A. Johnstone,HIG,5,0,0,0,11,5,10,0,0,0,2,0,3,0,0,0,0,0
M. Karpik,CHI,5,0,0,0,32,17,74,3,0,0,1,0,15,4,0,1,9,0
G. Koegelenberg,REB,5,0,0,0,27,18,57,2,0,0,1,0,12,6,0,0,0,0
M. Libbok,BUL,5,0,1,10,73,14,91,0,1,3,4,2,51,0,0,8,235,2
A. Lienert-Brown,CHI,5,2,0,10,64,44,259,0,4,0,10,7,26,0,0,1,21,0
D. Lienert-Brown,HIG,5,0,0,0,6,3,9,1,0,0,0,0,1,0,0,0,0,0
F. Lomani,REB,5,1,0,9,137,10,74,0,1,0,1,0,118,0,0,4,33,2
T. Lomax,HUR,5,0,0,0,16,12,54,1,0,0,2,0,3,0,0,0,0,0
