|   Year | Location       | Gender   |   Position | Name                      | Nationality    | Continent     | Time_Taken   | Notes   | Time                   | Time_Difference        |
|   2016 | Rio de Janeiro | Men      |          3 | Galen Rupp                | United States  | North America | 2:10:05      | -       | 0 days 02:10:05        | 0 days 00:00:11        |
|   2020 | Tokyo          | Men      |          1 | Eliud Kipchoge            | Kenya          | Africa        | 2:08:38      | -       | 0 days 02:08:38        | NaT                    |
|   2020 | Tokyo          | Men      |          2 | Abdi Nageeye              | Netherlands    | Europe        | 2:09:58      | -       | 0 days 02:09:58        | 0 days 00:01:20        |
|   2020 | Tokyo          | Men      |          3 | Bashir Abdi               | Belgium        | Europe        | 2:10:00      | -       | 0 days 02:10:00        | 0 days 00:00:02        |
|   1984 | Los Angeles    | Women    |          1 | Joan Benoit               | United States  | North America | 2:24:52      | OR      | 0 days 02:24:52        | 0 days 00:14:54        |
|   1984 | Los Angeles    | Women    |          2 | Grete Waitz               | Norway         | Europe        | 2:26:18      | -       | 0 days 02:26:18        | 0 days 00:01:26        |
|   1984 | Los Angeles    | Women    |          3 | Rosa Mota                 | Portugal       | Europe        | 2:26:57      | -       | 0 days 02:26:57        | 0 days 00:00:39        |
|   1988 | Seoul          | Women    |          1 | Rosa Mota                 | Portugal       | Europe        | 2:25:40      | -       | 0 days 02:25:40        | 0 days 00:14:41        |
|   1988 | Seoul          | Women    |          2 | Lisa Martin               | Australia      | Oceania       | 2:25:53      | -       | 0 days 02:25:53        | 0 days 00:00:13        |
|   1988 | Seoul          | Women    |          3 | Katrin Dörre              | East Germany   | Europe        | 2:26:21      | -       | 0 days 02:26:21        | 0 days 00:00:28        |
|   1992 | Barcelona      | Women    |          1 | Valentina Yegorova        | Unified Team   | Other         | 2:32:41      | -       | 0 days 02:32:41        | 0 days 00:18:41        |
|   1992 | Barcelona      | Women    |          2 | Yuko Arimori              | Japan          | Asia          | 2:32:49      | -       | 0 days 02:32:49        | 0 days 00:00:08        |
|   1992 | Barcelona      | Women    |          3 | Lorraine Moller           | New Zealand    | Oceania       | 2:33:59      | -       | 0 days 02:33:59        | 0 days 00:01:10        |
|   1996 | Atlanta        | Women    |          1 | Fatuma Roba               | Ethiopia       | Africa        | 2:26:05      | -       | 0 days 02:26:05        | 0 days 00:13:21        |
|   1996 | Atlanta        | Women    |          2 | Valentina Yegorova        | Russia         | Europe        | 2:28:05      | -       | 0 days 02:28:05        | 0 days 00:02:00        |
|   1996 | Atlanta        | Women    |          3 | Yuko Arimori              | Japan          | Asia          | 2:28:39      | -       | 0 days 02:28:39        | 0 days 00:00:34        |
|   2000 | Sydney         | Women    |          1 | Naoko Takahashi           | Japan          | Asia          | 2:23:14      | OR      | 0 days 02:23:14        | 0 days 00:12:04        |
|   2000 | Sydney         | Women    |          2 | Lidia Șimon               | Romania        | Europe        | 2:23:22      | -       | 0 days 02:23:22        | 0 days 00:00:08        |
|   2000 | Sydney         | Women    |          3 | Joyce Chepchumba          | Kenya          | Africa        | 2:24:45      | -       | 0 days 02:24:45        | 0 days 00:01:23        |
|   2004 | Athens         | Women    |          1 | Mizuki Noguchi            | Japan          | Asia          | 2:26:20      | -       | 0 days 02:26:20        | 0 days 00:14:09        |
|   2004 | Athens         | Women    |          2 | Catherine Ndereba         | Kenya          | Africa        | 2:26:32      | -       | 0 days 02:26:32        | 0 days 00:00:12        |
|   2004 | Athens         | Women    |          3 | Deena Kastor              | United States  | North America | 2:27:20      | -       | 0 days 02:27:20        | 0 days 00:00:48        |
|   2008 | Beijing        | Women    |          1 | Constantina Diță          | Romania        | Europe        | 2:26:44      | -       | 0 days 02:26:44        | 0 days 00:16:44        |
|   2008 | Beijing        | Women    |          2 | Catherine Ndereba         | Kenya          | Africa        | 2:27:06      | -       | 0 days 02:27:06        | NaT                    |
|   2008 | Beijing        | Women    |          3 | Zhou Chunxiu              | China          | Asia          | 2:27:07      | -       | 0 days 02:27:07        | 0 days 00:00:01        |
|   2012 | London         | Women    |          1 | Tiki Gelana               | Ethiopia       | Africa        | 2:23:07      | OR      | 0 days 02:23:07        | 0 days 00:13:30        |
|   2012 | London         | Women    |          2 | Priscah Jeptoo            | Kenya          | Africa        | 2:23:12      | -       | 0 days 02:23:12        | 0 days 00:00:05        |
|   2012 | London         | Women    |          3 | Tatyana Petrova Arkhipova | Russia         | Europe        | 2:23:29      | -       | 0 days 02:23:29        | 0 days 00:00:17        |
|   2016 | Rio de Janeiro | Women    |          1 | Jemima Sumgong            | Kenya          | Africa        | 2:24:04      | -       | 0 days 02:24:04        | 0 days 00:13:59        |
|   2016 | Rio de Janeiro | Women    |          2 | Eunice Kirwa              | Bahrain        | Asia          | 2:24:13      | -       | 0 days 02:24:13        | 0 days 00:00:09        |
|   2016 | Rio de Janeiro | Women    |          3 | Mare Dibaba               | Ethiopia       | Africa        | 2:24:30      | -       | 0 days 02:24:30        | 0 days 00:00:17        |
|   2020 | Tokyo          | Women    |          1 | Peres Jepchirchir         | Kenya          | Africa        | 2:27:20      | -       | 0 days 02:27:20        | 0 days 00:17:20        |
|   2020 | Tokyo          | Women    |          2 | Brigid Kosgei             | Kenya          | Africa        | 2:27:36      | -       | 0 days 02:27:36        | 0 days 00:00:16        |
|   2020 | Tokyo          | Women    |          3 | Molly Seidel              | United States  | North America | 2:27:46      | -       | 0 days 02:27:46        | 0 days 00:00:10        |
