Year,Location,Gender,Position,Name,Nationality,Continent,Time_Taken,Notes
1928,Amsterdam,Men,19,"Hans Stelges",Germany,Europe,2:45:27,""
1928,Amsterdam,Men,20,"Dunky Wright","Great Britain",Europe,2:45:30,""
1928,Amsterdam,Men,21,"Herbert Bignall","Great Britain",Europe,2:45:44,""
1928,Amsterdam,Men,22,"Ernest Harper","Great Britain",Europe,2:45:44,""
1928,Amsterdam,Men,23,"Jean Gérault",France,Europe,2:46:08,""
1928,Amsterdam,Men,24,"Ilmari Kuokka",Finland,Europe,2:46:34,""
1928,Amsterdam,Men,25,"Gustav Kinn",Sweden,Europe,2:47:35,""
1928,Amsterdam,Men,26,"Silas McLellan",Canada,"North America",2:49:33,""
1928,Amsterdam,Men,27,"Clarence DeMar","United States","North America",2:50:42,""
1928,Amsterdam,Men,28,"Marcel Denis",France,Europe,2:51:15,""
1928,Amsterdam,Men,29,"Guillaume Tell",France,Europe,2:51:18,""
1928,Amsterdam,Men,30,"Henri Landheer",Netherlands,Europe,2:51:59,""
1928,Amsterdam,Men,31,"Paul Hempel",Germany,Europe,2:52:01,""
1928,Amsterdam,Men,32,"Aurelio Terrazas",Mexico,"North America",2:52:22,""
1928,Amsterdam,Men,33,"František Zyka",Czechoslovakia,Europe,2:52:42,""
1928,Amsterdam,Men,34,"Giuseppe Ferrera",Italy,Europe,2:53:10,""
1928,Amsterdam,Men,35,"José Torres",Mexico,"North America",2:54:00,""
1928,Amsterdam,Men,36,"Johan Støa",Norway,Europe,2:54:15,""
1928,Amsterdam,Men,37,"Gerard Steuers",Belgium,Europe,2:54:48,""
1928,Amsterdam,Men,38,"Artūrs Motmillers",Latvia,Europe,2:56:45,""
1928,Amsterdam,Men,39,"James Henigan","United States","North America",2:56:50,""
1928,Amsterdam,Men,40,"Matthew Steytler","South Africa",Africa,2:57:21,""
1928,Amsterdam,Men,41,"Harvey Frick","United States","North America",2:57:24,""
1928,Amsterdam,Men,42,"Jean Linssen",Belgium,Europe,2:58:08,""
1928,Amsterdam,Men,43,"Frank Hughes",Canada,"North America",2:58:12,""
1928,Amsterdam,Men,44,"William Agee","United States","North America",2:58:50,""
1928,Amsterdam,Men,45,"Percy Wyer",Canada,"North America",2:58:52,""
1928,Amsterdam,Men,46,"Georg Hoerger",Germany,Europe,2:59:01,""
1928,Amsterdam,Men,47,"Kurt Schneider",Germany,Europe,2:59:36,""
1928,Amsterdam,Men,48,"Juichi Nagatani",Japan,Asia,3:03:34,""
1928,Amsterdam,Men,49,"József Galambos",Hungary,Europe,3:05:58,""
1928,Amsterdam,Men,50,"Paul Gerhardt",Germany,Europe,3:09:30,""
1928,Amsterdam,Men,51,"Gottlieb Bach",Denmark,Europe,3:10:10,""
1928,Amsterdam,Men,52,"Emilio Ferrer",Spain,Europe,3:11:05,""
1928,Amsterdam,Men,53,"Dimitrije Stefanović",Yugoslavia,Europe,3:11:35,""
1928,Amsterdam,Men,54,"Joop Vermeulen",Netherlands,Europe,3:13:47,""
1928,Amsterdam,Men,55,"Pleun van Leenen",Netherlands,Europe,3:14:37,""
1928,Amsterdam,Men,56,"Jean Marien",Belgium,Europe,3:16:13,""
1928,Amsterdam,Men,57,"Willem van der Steen",Netherlands,Europe,3:19:53,""
1932,"Los Angeles",Men,1,"Juan Carlos Zabala",Argentina,"South America",2:31:36,OR
1932,"Los Angeles",Men,2,"Sam Ferris","Great Britain",Europe,2:31:55,""
1932,"Los Angeles",Men,3,"Armas Toivonen",Finland,Europe,2:32:12,""
1932,"Los Angeles",Men,4,"Dunky Wright","Great Britain",Europe,2:32:41,""
1932,"Los Angeles",Men,5,"Seiichiro Tsuda",Japan,Asia,2:35:42,""
1932,"Los Angeles",Men,6,"Kim Un-bae",Japan,Asia,2:37:28,""
1932,"Los Angeles",Men,7,"Albert Michelsen","United States","North America",2:39:38,""
1932,"Los Angeles",Men,8,"Oskar Hekš",Czechoslovakia,Europe,2:41:35,""
1932,"Los Angeles",Men,9,"Kwon Tae-ha",Japan,Asia,2:42:52,""
1932,"Los Angeles",Men,10,"Anders Hartington Andersen",Denmark,Europe,2:44:38,""
1932,"Los Angeles",Men,11,"Hans Oldag","United States","North America",2:47:26,""
1932,"Los Angeles",Men,12,"Clifford Bricker",Canada,"North America",2:47:58,""
1932,"Los Angeles",Men,13,"Michele Fanelli",Italy,Europe,2:49:09,""
1932,"Los Angeles",Men,14,"Johnny Miles",Canada,"North America",2:50:32,""
1932,"Los Angeles",Men,15,"Paul de Bruyn",Germany,Europe,2:52:39,""
1932,"Los Angeles",Men,16,"François Bégeot",France,Europe,2:53:34,""
1932,"Los Angeles",Men,17,"Fernando Cicarelli",Argentina,"South America",2:55:49,""
1932,"Los Angeles",Men,18,"Eddie Cudworth",Canada,"North America",2:58:35,""
1932,"Los Angeles",Men,19,"João Clemente da Silva",Brazil,"South America",3:02:06,""
1932,"Los Angeles",Men,20,"Margarito Pomposo",Mexico,"North America",3:10:51,""
1936,Berlin,Men,1,"Kitei Son",Japan,Asia,2:29:19.2,OR
1936,Berlin,Men,2,"Ernest Harper","Great Britain",Europe,2:31:23.2,""
1936,Berlin,Men,3,"Shōryū Nan",Japan,Asia,2:31:42.0,""
1936,Berlin,Men,4,"Erkki Tamila",Finland,Europe,2:32:45.0,""
1936,Berlin,Men,5,"Väinö Muinonen",Finland,Europe,2:33:46.0,""
1936,Berlin,Men,6,"Johannes Coleman","South Africa",Africa,2:36:17.0,""
1936,Berlin,Men,7,"Donald Robertson","Great Britain",Europe,2:37:06.2,""
1936,Berlin,Men,8,"Jackie Gibson","South Africa",Africa,2:38:04.0,""
1936,Berlin,Men,9,"Mauno Tarkiainen",Finland,Europe,2:39:33.0,""
1936,Berlin,Men,10,"Thore Enochsson",Sweden,Europe,2:43:12.0,""
1936,Berlin,Men,11,"Stylianos Kyriakides",Greece,Europe,2:43:20.0,""
1936,Berlin,Men,12,"Nouba Khaled",France,Europe,2:45:34.0,""
1936,Berlin,Men,13,"Henry Palmé",Sweden,Europe,2:46:08.4,""
1936,Berlin,Men,14,"Franz Tuschek",Austria,Europe,2:46:29.0,""
1936,Berlin,Men,15,"Jimmy Bartlett",Canada,"North America",2:48:21.4,""
1936,Berlin,Men,16,"Émile Duval",France,Europe,2:48:39.8,""
1936,Berlin,Men,17,"Manuel Dias",Portugal,Europe,2:49:00.0,""
1936,Berlin,Men,18,"Johnny Kelley","United States","North America",2:49:32.4,""
1936,Berlin,Men,19,"Miloslav Luňák",Czechoslovakia,Europe,2:50:26.0,""
1936,Berlin,Men,20,"Felix Meskens",Belgium,Europe,2:51:19.0,""
1936,Berlin,Men,21,"Ján Takáč",Czechoslovakia,Europe,2:51:20.0,""
1936,Berlin,Men,22,"Rudolf Wöber",Austria,Europe,2:51:28.0,""
1936,Berlin,Men,23,"Ludovic Gall",Romania,Europe,2:55:02.0,""
1936,Berlin,Men,24,"Robert Nevens",Belgium,Europe,2:55:51.0,""
1936,Berlin,Men,25,"Anders Hartington Andersen",Denmark,Europe,2:56:31.0,""
1936,Berlin,Men,26,"Gabriel Mendoza",Peru,"South America",2:57:17.8,""
1936,Berlin,Men,27,"Tommy Lalande","South Africa",Africa,2:57:20.0,""
1936,Berlin,Men,28,"Artūrs Motmillers",Latvia,Europe,2:58:02.0,""
1936,Berlin,Men,29,"Eduard Braesecke",Germany,Europe,2:59:33.4,""
1936,Berlin,Men,30,"Percy Wyer",Canada,"North America",3:00:11.0,""
1936,Berlin,Men,31,"Fernand Le Heurteur",France,Europe,3:01:11.0,""
1936,Berlin,Men,32,"Wilhelm Rothmayer",Austria,Europe,3:02:32.0,""
1936,Berlin,Men,33,"Bronisław Gancarz",Poland,Europe,3:03:11.0,""
